IDMacroLine,IDLabMacro,IDToolMethod,KindRetValue,IDRetValue,LineNumber,Level,Commented,ElementIdx
576929,65,3500,-1,0,1,0,0,-1
576930,65,4200,-1,0,2,1,0,-1
576931,65,4631,-1,0,3,1,0,-1
576932,65,4200,-1,0,4,1,0,-1
576933,65,2400,-1,0,5,1,0,-1
576934,65,2401,-1,0,6,1,0,-1
576935,65,3700,3,8,7,1,0,0
576936,65,3700,3,9,8,1,0,0
576937,65,2402,1,312,9,1,0,-1
576938,65,4200,-1,0,10,1,0,-1
576939,65,2400,-1,0,11,1,0,-1
576940,65,2401,-1,0,12,1,0,-1
576941,65,4637,1,312,13,1,0,-1
576942,65,1501,-1,0,14,0,0,-1
576943,65,1502,-1,0,15,0,0,-1
576944,58,4637,1,262,1,0,0,-1
576945,55,3700,3,5,1,0,0,-1
576946,55,3700,3,6,2,0,0,-1
576947,55,3700,3,7,3,0,0,-1
576948,55,3700,3,11,4,0,0,-1
576949,55,4500,1,210,5,0,0,-1
576950,55,4500,1,211,6,0,0,-1
576951,55,3500,-1,0,7,0,0,-1
576952,55,3700,3,8,8,1,0,-1
576953,55,3700,3,9,9,1,0,-1
576954,55,3700,3,17,10,1,0,-1
576955,55,3600,-1,0,11,0,0,-1
576956,55,3700,3,8,12,1,0,-1
576957,55,3700,3,9,13,1,0,-1
576958,55,3700,3,17,14,1,0,-1
576959,55,3700,3,28,15,0,0,-1
576960,55,3700,3,27,16,0,0,-1
576961,55,3500,-1,0,17,0,0,-1
576962,55,3700,3,14,18,1,0,-1
576963,55,3600,-1,0,19,0,0,-1
576964,55,3700,3,14,20,1,0,-1
576965,55,3500,-1,0,21,0,0,-1
576966,55,3700,3,12,22,1,0,-1
576967,55,3600,-1,0,23,0,0,-1
576968,55,3700,3,12,24,1,0,-1
576969,55,3500,-1,0,25,0,0,-1
576970,55,3700,3,13,26,1,0,-1
576971,55,3600,-1,0,27,0,0,-1
576972,55,3700,3,13,28,1,0,-1
576973,55,3500,-1,0,29,0,0,-1
576974,55,3700,3,10,30,1,0,-1
576975,55,3600,-1,0,31,0,0,-1
576976,55,3700,3,10,32,1,0,-1
576977,55,3500,-1,0,33,0,1,-1
576978,55,3700,3,10,34,1,1,-1
576979,55,3600,-1,0,35,0,1,-1
576980,55,3700,3,10,36,1,1,-1
576981,55,3500,-1,0,37,0,0,-1
576982,55,3500,-1,0,38,1,0,-1
576983,55,3700,2,203,39,2,0,-1
576984,55,4000,-1,0,40,1,0,-1
576985,55,3700,2,203,41,2,0,-1
576986,55,3600,-1,0,42,1,0,-1
576987,55,3700,2,203,43,2,0,-1
576988,55,3500,-1,0,44,0,0,-1
576989,55,4200,-1,0,45,1,1,-1
576990,55,4000,-1,0,46,0,0,-1
576991,55,4300,-1,0,47,1,0,-1
576992,55,4000,-1,0,48,0,0,-1
576993,55,3500,-1,0,49,1,0,-1
576994,55,3700,3,12,50,2,0,-1
576995,55,3600,-1,0,51,1,0,-1
576996,55,3700,3,12,52,2,0,-1
576997,55,4300,-1,0,53,1,0,-1
576998,55,3600,-1,0,54,0,0,-1
576999,55,2804,-1,0,55,1,0,-1
577000,59,4633,-1,0,1,0,0,-1
577001,73,3500,-1,0,1,0,0,-1
577002,73,3700,3,20,2,1,0,-1
577003,73,4000,-1,0,3,0,0,-1
577004,73,3700,3,20,4,1,0,-1
577005,73,4000,-1,0,5,0,0,-1
577006,73,3700,3,20,6,1,0,-1
577007,73,3600,-1,0,7,0,0,-1
577008,73,2804,-1,0,8,1,0,-1
577009,73,3700,3,20,9,1,0,-1
577010,73,3700,3,11,10,0,0,-1
577011,73,3700,3,14,11,0,0,-1
577012,73,3700,3,8,12,0,0,-1
577013,73,3700,3,12,13,0,0,-1
577014,73,3700,3,13,14,0,0,-1
577015,73,3700,3,9,15,0,0,-1
577016,73,4300,1,361,16,0,0,-1
577017,29,1500,-1,0,1,0,0,-1
577018,29,1501,-1,0,2,0,0,-1
577019,29,1502,-1,0,3,0,0,-1
577020,136,5801,-1,0,1,0,0,-1
577021,30,1500,-1,0,1,0,0,-1
577022,30,1501,-1,0,2,0,0,-1
577023,30,1502,-1,0,3,0,0,-1
577024,137,1500,-1,0,1,0,0,-1
577025,137,4101,-1,0,2,0,0,-1
577026,91,1500,-1,0,1,0,0,-1
577027,39,4634,-1,0,1,0,0,-1
577028,74,3700,3,11,1,0,0,-1
577029,74,3700,3,14,2,0,0,-1
577030,74,3700,3,8,3,0,0,-1
577031,74,3500,-1,0,4,0,0,-1
577032,74,3700,3,249,5,1,0,-1
577033,74,4000,-1,0,6,0,0,-1
577034,74,3700,3,249,7,1,0,-1
577035,74,3600,-1,0,8,0,0,-1
577036,74,3700,3,249,9,1,0,-1
577037,74,3500,-1,0,10,0,0,-1
577038,74,3700,3,248,11,1,0,-1
577039,74,4000,-1,0,12,0,0,-1
577040,74,3700,3,248,13,1,0,-1
577041,74,4000,-1,0,14,0,0,-1
577042,74,3700,3,248,15,1,0,-1
577043,74,3600,-1,0,16,0,0,-1
577044,74,2804,-1,0,17,1,0,-1
577045,74,3700,3,248,18,1,0,-1
577046,74,4629,1,368,19,0,0,-1
577047,74,3500,-1,0,20,0,0,-1
577048,74,3700,3,9,21,1,0,-1
577049,74,3600,-1,0,22,0,0,-1
577050,74,3700,3,9,23,1,0,-1
577051,74,3700,3,12,24,0,0,-1
577052,74,3700,3,13,25,0,0,-1
577053,74,4300,1,367,26,0,0,-1
577054,32,3700,3,11,1,0,0,-1
577055,32,3700,3,8,2,0,0,-1
577056,32,3700,3,9,3,0,0,-1
577057,32,3500,-1,0,4,0,0,-1
577058,32,3700,3,14,5,1,0,-1
577059,32,3600,-1,0,6,0,0,-1
577060,32,3700,3,14,7,1,0,-1
577061,32,3500,-1,0,8,0,0,-1
577062,32,3700,3,12,9,1,0,-1
577063,32,3600,-1,0,10,0,0,-1
577064,32,3700,3,12,11,1,0,-1
577065,32,3500,-1,0,12,0,0,-1
577066,32,3700,3,13,13,1,0,-1
577067,32,3600,-1,0,14,0,0,-1
577068,32,3700,3,13,15,1,0,-1
577069,32,3500,-1,0,16,0,0,-1
577070,32,4300,-1,0,17,1,0,-1
577071,32,3600,-1,0,18,0,0,-1
577072,32,4300,-1,0,19,1,0,-1
577073,44,1500,-1,0,1,0,0,-1
577074,44,1501,-1,0,2,0,0,-1
577075,44,1502,-1,0,3,0,0,-1
577076,90,1500,-1,0,1,0,0,-1
577077,90,1501,-1,0,2,0,0,-1
577078,90,1502,-1,0,3,0,0,-1
577079,45,1500,-1,0,1,0,0,-1
577080,45,1501,-1,0,2,0,0,-1
577081,45,1502,-1,0,3,0,0,-1
577082,33,3700,3,5,1,0,0,-1
577083,33,3700,3,6,2,0,0,-1
577084,33,3700,3,7,3,0,0,-1
577085,33,3700,3,11,4,0,0,-1
577086,33,4621,3,24,5,0,0,-1
577087,33,4500,1,148,6,0,0,-1
577088,33,4500,1,149,7,0,0,-1
577089,33,3500,-1,0,8,0,0,-1
577090,33,3700,3,8,9,1,0,-1
577091,33,3700,3,9,10,1,0,-1
577092,33,3700,3,17,11,1,0,-1
577093,33,3600,-1,0,12,0,0,-1
577094,33,3700,3,8,13,1,0,-1
577095,33,3700,3,9,14,1,0,-1
577096,33,3700,3,17,15,1,0,-1
577097,33,3700,3,18,16,0,0,-1
577098,33,3500,-1,0,17,0,0,-1
577099,33,3700,3,14,18,1,0,-1
577100,33,3600,-1,0,19,0,0,-1
577101,33,3700,3,14,20,1,0,-1
577102,33,3500,-1,0,21,0,0,-1
577103,33,3700,3,12,22,1,0,-1
577104,33,3600,-1,0,23,0,0,-1
577105,33,3700,3,12,24,1,0,-1
577106,33,3500,-1,0,25,0,0,-1
577107,33,3700,3,13,26,1,0,-1
577108,33,3600,-1,0,27,0,0,-1
577109,33,3700,3,13,28,1,0,-1
577110,33,3500,-1,0,29,0,0,-1
577111,33,3700,3,10,30,1,0,-1
577112,33,3600,-1,0,31,0,0,-1
577113,33,3700,3,10,32,1,0,-1
577114,33,3500,-1,0,33,0,1,-1
577115,33,3700,3,10,34,1,1,-1
577116,33,3600,-1,0,35,0,1,-1
577117,33,3700,3,10,36,1,1,-1
577118,33,3500,-1,0,37,0,0,-1
577119,33,3500,-1,0,38,1,0,-1
577120,33,3700,2,163,39,2,0,-1
577121,33,4000,-1,0,40,1,0,-1
577122,33,3700,2,163,41,2,0,-1
577123,33,4000,-1,0,42,1,0,-1
577124,33,3700,2,163,43,2,0,-1
577125,33,4000,-1,0,44,1,0,-1
577126,33,4200,-1,0,45,2,1,-1
577127,33,3700,2,163,46,2,0,-1
577128,33,3600,-1,0,47,1,0,-1
577129,33,3700,2,163,48,2,0,-1
577130,33,3500,-1,0,49,0,0,-1
577131,33,4300,-1,0,50,1,0,-1
577132,33,4000,-1,0,51,0,0,-1
577133,33,4200,-1,0,52,1,1,-1
577134,33,4000,-1,0,53,0,0,-1
577135,33,4200,-1,0,54,1,1,-1
577136,33,3700,3,15,55,1,0,-1
577137,33,4300,-1,0,56,1,0,-1
577138,33,4000,-1,0,57,0,0,-1
577139,33,4300,-1,0,58,1,0,-1
577140,33,4000,-1,0,59,0,0,-1
577141,33,3700,3,15,60,1,0,-1
577142,33,4300,-1,0,61,1,0,-1
577143,33,4000,-1,0,62,0,0,-1
577144,33,4200,-1,0,63,1,1,-1
577145,33,3700,3,15,64,1,0,-1
577146,33,4300,-1,0,65,1,0,-1
577147,33,4000,-1,0,66,0,0,-1
577148,33,3700,3,8,67,1,0,-1
577149,33,3700,3,9,68,1,0,-1
577150,33,3700,3,25,69,1,0,-1
577151,33,3700,3,26,70,1,0,-1
577152,33,3700,3,17,71,1,0,-1
577153,33,4300,-1,0,72,1,0,-1
577154,33,3600,-1,0,73,0,0,-1
577155,33,2804,-1,0,74,1,0,-1
577158,72,4632,-1,0,1,0,0,-1
577162,106,4648,-1,0,1,0,0,-1
577168,46,1500,-1,0,1,0,0,-1
577169,46,1501,-1,0,2,0,0,-1
577170,46,1502,-1,0,3,0,0,-1
577171,37,1500,-1,0,1,0,0,-1
577172,37,1501,-1,0,2,0,0,-1
577173,37,1502,-1,0,3,0,0,-1
577174,47,1500,-1,0,1,0,0,-1
577175,47,1501,-1,0,2,0,0,-1
577176,47,1502,-1,0,3,0,0,-1
577177,152,4101,-1,0,1,0,0,-1
577178,152,1500,-1,0,2,0,1,-1
577179,152,1501,-1,0,3,0,1,-1
577180,152,1502,-1,0,4,0,1,-1
577181,150,5701,-1,0,1,0,0,-1
577182,56,4602,1,313,1,0,0,-1
577183,56,3500,-1,0,2,0,0,-1
577184,56,2400,-1,0,3,1,0,-1
577185,56,4200,-1,0,4,0,1,-1
577186,56,4100,-1,0,5,0,0,-1
577187,56,4101,-1,0,6,0,0,-1
577188,56,1500,-1,0,7,0,0,-1
577189,56,1501,-1,0,8,0,0,-1
577190,56,1502,-1,0,9,0,0,-1
577191,146,3500,-1,0,1,0,0,-1
577192,146,4200,-1,0,2,1,1,-1
577193,146,4631,-1,0,3,1,0,-1
577194,146,4200,-1,0,4,1,1,-1
577197,146,3700,3,8,7,1,0,0
577198,146,3700,3,9,8,1,0,0
577200,146,4200,-1,0,10,1,1,-1
577204,146,11001,1,637,13,1,0,-1
577205,146,1501,-1,0,14,0,0,-1
577206,146,1502,-1,0,15,0,0,-1
577207,66,4200,-1,0,1,0,1,-1
577208,66,4631,-1,0,2,0,0,-1
577209,66,3700,3,245,3,0,0,-1
577210,66,1501,-1,0,4,0,0,-1
577211,66,1502,-1,0,5,0,0,-1
577212,63,4200,-1,0,1,0,1,-1
577213,63,4631,-1,0,2,0,0,-1
577214,63,4200,-1,0,3,0,1,-1
577215,63,4631,-1,0,4,0,0,-1
577216,63,1501,-1,0,5,0,0,-1
577217,63,1502,-1,0,6,0,0,-1
577218,60,4200,-1,0,1,0,1,-1
577219,60,4631,-1,0,2,0,0,-1
577220,60,4200,-1,0,3,0,1,-1
577221,60,2400,-1,0,4,0,0,-1
577222,60,4200,-1,0,5,0,1,-1
577223,60,4631,-1,0,6,0,0,-1
577224,60,1501,-1,0,7,0,0,-1
577225,60,1502,-1,0,8,0,0,-1
577227,145,11001,1,632,1,0,0,-1
577228,75,4200,-1,0,1,0,1,-1
577229,75,4631,-1,0,2,0,0,-1
577230,75,4200,-1,0,3,0,1,-1
577231,75,1500,-1,0,4,0,0,-1
577232,75,1501,-1,0,5,0,0,-1
577233,75,2402,1,373,6,0,0,-1
577234,75,1502,-1,0,7,0,0,-1
577235,75,4200,-1,0,8,0,1,-1
577236,75,4631,-1,0,9,0,0,-1
577237,75,2400,-1,0,10,0,0,-1
577238,102,4604,1,461,1,0,1,-1
577239,102,4101,-1,0,2,0,0,-1
577240,102,3500,-1,0,3,0,1,-1
577241,102,4101,-1,0,4,1,1,-1
577242,102,3600,-1,0,5,0,1,-1
577243,102,4101,-1,0,6,1,1,-1
577244,102,3500,-1,0,7,0,0,-1
577245,102,4200,-1,0,8,1,1,-1
577246,102,3700,3,5,9,1,0,-1
577247,102,3700,3,267,10,1,0,-1
577248,102,3700,3,268,11,1,0,-1
577249,102,3700,3,269,12,1,0,-1
577250,102,3700,3,270,13,1,0,-1
577251,102,4200,-1,0,14,1,1,-1
577252,102,3700,3,8,15,1,0,0
577253,102,3700,3,9,16,1,0,0
577254,102,4200,-1,0,17,1,1,-1
577255,102,3500,-1,0,18,1,0,-1
577256,102,8900,-1,0,19,2,0,-1
577257,102,8901,-1,0,20,2,0,-1
577258,102,8902,3,243,21,2,0,-1
577259,102,4200,-1,0,22,2,1,-1
577260,102,8900,-1,0,23,2,0,-1
577261,102,8901,-1,0,24,2,0,-1
577262,102,8902,3,243,25,2,0,-1
577263,102,4200,-1,0,26,2,1,-1
577264,102,8900,-1,0,27,2,0,-1
577265,102,8901,-1,0,28,2,0,-1
577266,102,3600,-1,0,29,1,0,-1
577267,102,2400,-1,0,30,2,0,-1
577268,102,2401,-1,0,31,2,0,-1
577269,102,2402,3,243,32,2,0,-1
577270,102,4200,-1,0,33,2,1,-1
577271,102,2400,-1,0,34,2,0,-1
577272,102,2401,-1,0,35,2,0,-1
577273,102,2402,3,243,36,2,0,-1
577274,102,4200,-1,0,37,2,1,-1
577275,102,2400,-1,0,38,2,0,-1
577276,102,2401,-1,0,39,2,0,-1
577277,102,4200,-1,0,40,0,1,-1
577278,102,4631,-1,0,41,0,0,-1
577279,102,4200,-1,0,42,0,1,-1
577280,102,1500,-1,0,43,0,0,-1
577281,102,1501,-1,0,44,0,0,-1
577282,102,3700,3,9,45,0,0,0
577283,102,3500,-1,0,46,0,0,-1
577284,102,8902,3,243,47,1,0,-1
577285,102,3600,-1,0,48,0,0,-1
577286,102,2402,3,243,49,1,0,-1
577287,102,4200,-1,0,50,0,1,-1
577288,102,4101,-1,0,51,0,1,-1
577289,102,4200,-1,0,52,0,1,-1
577290,102,3500,-1,0,53,0,1,-1
577291,102,3500,-1,0,54,0,1,-1
577292,102,3500,-1,0,55,0,0,-1
577293,102,3700,3,5,56,1,0,-1
577294,102,3700,3,270,57,1,0,-1
577295,102,3700,3,269,58,1,0,-1
577296,102,3700,3,268,59,1,0,-1
577297,102,3700,3,267,60,1,0,-1
577298,102,3700,3,243,61,1,0,-1
577299,102,1502,-1,0,62,0,0,-1
577300,102,3500,-1,0,63,0,0,-1
577301,102,8900,-1,0,64,1,0,-1
577302,102,3600,-1,0,65,0,0,-1
577303,102,2400,-1,0,66,1,0,-1
577304,102,4200,-1,0,67,0,1,-1
577305,102,4631,-1,0,68,0,0,-1
577306,79,5101,-1,0,1,0,0,-1
577307,149,4637,1,632,1,0,1,-1
577308,149,11001,1,647,2,0,0,-1
577309,43,1500,-1,0,1,0,0,-1
577310,43,1501,-1,0,2,0,0,-1
577311,43,1502,-1,0,3,0,0,-1
577312,84,4636,-1,0,1,0,0,-1
577313,114,4636,-1,0,1,0,0,-1
577314,132,4636,-1,0,1,0,0,-1
577315,28,1500,-1,0,1,0,0,-1
577316,28,1501,-1,0,2,0,0,-1
577317,28,1502,-1,0,3,0,0,-1
577318,141,8601,-1,0,1,0,0,-1
577319,85,5501,-1,0,1,0,0,-1
577320,128,4636,-1,0,1,0,0,-1
577321,165,4636,-1,0,1,0,0,-1
577322,83,5701,-1,0,1,0,0,-1
577323,134,5701,-1,0,1,0,0,-1
577324,135,5701,-1,0,1,0,0,-1
577325,105,5701,-1,0,1,0,0,-1
577326,101,5801,-1,0,1,0,0,-1
577327,57,1501,-1,0,1,0,0,-1
577328,57,1502,-1,0,2,0,0,-1
577329,57,1500,-1,0,3,0,1,-1
577330,69,4604,1,461,1,0,1,-1
577331,69,3700,3,243,2,0,0,-1
577332,69,4101,-1,0,3,0,0,-1
577333,69,3500,-1,0,4,0,1,-1
577334,69,4101,-1,0,5,1,1,-1
577335,69,3600,-1,0,6,0,1,-1
577336,69,4101,-1,0,7,1,1,-1
577337,69,3500,-1,0,8,0,0,-1
577338,69,3700,3,8,9,1,0,0
577339,69,3700,3,9,10,1,0,0
577340,69,3500,-1,0,11,1,0,-1
577341,69,4200,-1,0,12,2,1,-1
577342,69,8900,-1,0,13,2,0,-1
577343,69,8901,-1,0,14,2,0,-1
577344,69,8902,3,243,15,2,0,-1
577345,69,4200,-1,0,16,2,1,-1
577346,69,8900,-1,0,17,2,0,-1
577347,69,8901,-1,0,18,2,0,-1
577348,69,3600,-1,0,19,1,0,-1
577349,69,4200,-1,0,20,2,1,-1
577350,69,2400,-1,0,21,2,0,-1
577351,69,2401,-1,0,22,2,0,-1
577352,69,2402,3,243,23,2,0,-1
577353,69,4200,-1,0,24,2,1,-1
577354,69,2400,-1,0,25,2,0,-1
577355,69,2401,-1,0,26,2,0,-1
577356,69,3600,-1,0,27,0,0,-1
577357,69,3500,-1,0,28,1,0,-1
577358,69,4200,-1,0,29,2,1,-1
577359,69,4100,-1,0,30,2,0,-1
577360,69,4101,-1,0,31,2,0,-1
577361,69,3600,-1,0,32,1,0,-1
577362,69,4200,-1,0,33,2,1,-1
577363,69,4100,-1,0,34,2,0,-1
577364,69,4101,-1,0,35,2,0,-1
577365,81,11101,-1,0,1,0,0,-1
577367,107,4101,-1,0,1,0,0,-1
577371,108,4101,-1,0,1,0,0,-1
577375,148,4101,-1,0,1,0,0,-1
577378,96,3700,1,504,1,0,0,-1
577379,96,3500,-1,0,2,0,0,-1
577380,96,3700,1,504,3,1,0,-1
577381,96,4000,-1,0,4,0,0,-1
577382,96,3700,1,504,5,1,0,-1
577383,96,5701,-1,0,6,0,0,-1
577384,112,4636,-1,0,1,0,0,-1
577386,162,4636,-1,0,1,0,0,-1
577387,161,4636,-1,0,1,0,0,-1
577388,160,4636,-1,0,1,0,0,-1
577389,159,4636,-1,0,1,0,0,-1
577390,155,4636,-1,0,1,0,0,-1
577391,80,5201,-1,0,1,0,0,-1
577392,86,5601,-1,0,1,0,0,-1
577393,100,11201,-1,0,1,0,0,-1
577394,92,4615,1,604,1,0,0,-1
577395,92,4616,1,605,2,0,0,-1
577396,92,3500,-1,0,3,0,0,-1
577397,92,5501,1,583,4,1,0,-1
577398,92,3500,-1,0,5,1,0,-1
577399,92,3700,2,523,6,2,0,-1
577400,92,4650,-1,0,7,2,0,-1
577401,92,3600,-1,0,8,1,0,-1
577402,92,5601,1,583,9,2,0,-1
577403,92,3500,-1,0,10,2,0,-1
577404,92,3700,2,523,11,3,0,-1
577405,92,4650,-1,0,12,3,0,-1
577406,92,4000,-1,0,13,0,0,-1
577407,92,5501,1,583,14,1,0,-1
577408,92,3500,-1,0,15,1,0,-1
577409,92,3700,2,523,16,2,0,-1
577410,92,4650,-1,0,17,2,0,-1
577411,92,3600,-1,0,18,1,0,-1
577412,92,5601,1,583,19,2,0,-1
577413,92,3500,-1,0,20,2,0,-1
577414,92,3700,2,523,21,3,0,-1
577415,92,4650,-1,0,22,3,0,-1
577416,92,3600,-1,0,23,0,0,-1
577417,92,3500,-1,0,24,1,0,-1
577418,92,5501,-1,0,25,2,0,-1
577419,92,4000,-1,0,26,1,0,-1
577420,92,5601,-1,0,27,2,0,-1
577421,154,4636,-1,0,1,0,0,-1
577422,153,4101,-1,0,1,0,0,-1
577423,153,1500,-1,0,2,0,1,-1
577424,153,1501,-1,0,3,0,1,-1
577425,153,1502,-1,0,4,0,1,-1
577426,97,1500,-1,0,1,0,0,-1
577427,97,1501,-1,0,2,0,0,-1
577428,97,1502,-1,0,3,0,0,-1
577429,156,4636,-1,0,1,0,0,-1
577430,133,4636,-1,0,1,0,0,-1
